---------------Probfuse--------------------
-----------------------------------
  Rank      Document     Rating  
-----------------------------------
   1         28           1.1
   2         1            1.1
   3         96           1.1
   4         37           0.9
   5         49           0.7
   6         77           0.65
   7         51           0.65
   8         38           0.5
   9         24           0.5
   10        46           0.5
   11        11           0.45000000000000007
   12        26           0.4
   13        34           0.4
   14        101          0.25
   15        29           0.25
   16        3            0.20000000000000004
   17        83           0.20000000000000004
   18        21           0.20000000000000004
   19        6            0.10000000000000002
   20        41           0.10000000000000002

==================================
