A;35;995	B;226;0.984	C;50;100
A;54;988	B;6;0.979	C;78;98
A;65;981	B;59;0.953	C;35;97
A;162;970	B;119;0.948	C;184;96
A;152;967	B;26;0.937	C;53;95
A;44;964	B;13;0.915	C;232;94
A;206;949	B;10;0.905	C;245;93
A;26;945	B;115;0.896	C;147;92
A;134;937	B;62;0.892	C;191;90
A;31;927	B;187;0.861	C;166;89
A;141;918	B;208;0.859	C;19;87
A;56;917	B;238;0.83	C;189;86
A;139;904	B;40;0.818	C;76;85
A;103;886	B;155;0.809	C;142;84
A;87;877	B;248;0.805	C;108;83
A;88;875	B;54;0.794	C;28;82
A;216;866	B;199;0.785	C;164;80
A;107;848	B;160;0.781	C;205;79
A;213;843	B;43;0.762	C;51;78
A;194;817	B;35;0.745	C;250;76
A;151;811	B;102;0.717	C;74;75
A;169;809	B;28;0.714	C;24;73
A;196;795	B;21;0.706	C;32;71
A;183;786	B;52;0.664	C;190;70
A;136;774	B;212;0.661	C;236;67
A;181;767	B;38;0.645	C;128;66
A;205;749	B;203;0.642	C;186;65
A;105;743	B;146;0.625	C;89;64
A;106;741	B;69;0.619	C;4;63
A;97;731	B;223;0.567	C;125;62
A;51;724	B;82;0.534	C;201;61
A;121;721	B;237;0.527	C;210;59
A;10;708	B;227;0.485	C;152;58
A;210;696	B;91;0.469	C;27;57
A;168;691	B;132;0.452	C;95;56
A;110;677	B;179;0.405	C;6;55
A;149;644	B;143;0.4	C;154;54
A;202;638	B;235;0.394	C;194;53
A;24;635	B;8;0.387	C;146;52
A;157;634	B;144;0.383	C;59;51
A;81;600	B;138;0.378	C;127;50
A;18;594	B;24;0.368	C;115;49
A;127;591	B;241;0.36	C;2;48
A;197;578	B;98;0.357	C;25;47
A;125;577	B;104;0.327	C;171;46
A;161;562	B;137;0.326	C;187;45
A;119;557	B;217;0.323	C;21;43
A;98;544	B;106;0.314	C;104;42
A;171;540	B;25;0.313	C;41;41
A;3;528	B;88;0.306	C;133;39
A;116;517	B;152;0.286	C;182;37
A;23;497	B;158;0.283	C;34;36
A;115;487	B;140;0.281	C;222;35
A;174;462	B;128;0.243	C;49;34
A;100;436	B;57;0.236	C;72;33
A;37;430	B;220;0.233	C;149;32
A;73;427	B;230;0.223	C;23;31
A;93;421	B;122;0.218	C;207;29
A;137;415	B;51;0.216	C;29;28
A;1;408	B;168;0.21	C;98;26
A;131;406	B;231;0.194	C;148;25
A;60;403	B;157;0.191	C;69;23
A;25;349	B;163;0.183	C;151;21
A;30;332	B;191;0.174	C;106;20
A;61;324	B;197;0.142	C;91;19
A;80;321	B;159;0.13	C;228;18
A;83;320	B;245;0.101	C;16;17
A;2;316	B;185;0.093	C;178;16
A;199;312	B;100;0.084	C;99;14
A;211;302	B;233;0.076	C;181;13
A;29;293	B;153;0.071	C;231;12
A;179;290	B;204;0.068	C;1;11
A;212;288	B;86;0.054	C;17;10
A;113;283	B;36;0.053	C;193;9
A;91;236	B;63;0.052	C;131;8
A;7;229	B;23;0.028	C;220;7
A;191;227	B;107;0.027	C;52;6
A;15;225	B;181;0.019	C;33;5
A;224;222	B;148;0.008	C;83;3
A;189;210	B;94;0.003	C;20;1
